Timestamp,Berkeley id or email?,Is your UCSD #3 prestige banner there?,Can you log in to the UCI link?,Did you apply for financial aid?,GPA(UC UW)?,GPA(UC W),GPA(UC W capped),Rate your piqs on a scale of 1-10,Rate your ec's on a scale of 1-10,UCB major?,UCSD major?,UCI major?,Best college you've already gotten accepted to(not required)
3/8/2026 14:01:49,Id,No,Yes,Yes,4.0,5.35,4.62,9,7,"Molecular and Cell Biology, B.A.","Cognitive Science: Cognitive & Behavioral Neuroscience (joint major), B.S.","Cognitive Sciences, B.S. School of Social Sciences",UW
3/8/2026 14:02:21,Email,Yes,No,Yes,3.61,4.22,3.93,8,9,neuro,neuro,neuro,"Usfca, ucsc, ucr, ucm (rejected from davis)"
3/8/2026 14:05:58,Id,No,Yes,Yes,4.0,4.73,4.27,9,8,"Neuroscience, B.A","Neurobiology, B.S.","Biological Sciences, B.S.",
3/8/2026 14:06:18,Id,No,Yes,Yes,4.0,4.34,4.18,4,10,Bio,Bio,Bio,Princeton (Restrictive Early Action)
3/8/2026 14:07:18,Didn't apply,No,Yes,Yes,4.0,4.72,4.3,7,8,Interdisciplinary Studies,Human Developmental Sciences,Social Policy & Public Service,UC Davis
3/8/2026 14:08:25,Id,No,Yes,Yes,3.7,4.16,3.94,7,9,Poli Sci,Poli Sci,Business,Georgetown
3/8/2026 14:08:45,Email,No,No,Yes,3.77,4.25,4.0,8,7,Urban studies,Media industries and communication,Literary journalism,SDSU
3/8/2026 14:10:24,Id,Yes,Didn't apply,Yes,3.4,3.4,3.4,8,9,chemistry,pharmacological chemistry,N/a,N/a
3/8/2026 14:10:38,Id,No,Yes,Yes,3.99,4.45,4.3,9,6,Anthropology,Anthropology - Sociocultural Anthropology,Anthropology,
3/8/2026 14:11:03,Id,No,Yes,Yes,4.0,4.67,4.27,9,8,"Neuroscience, B.A.","Neurobiology, B.S.","Neuroscience, B.S.",University of Washington
3/8/2026 14:11:59,Didn't apply,Yes,Didn't apply,Yes,3.63,3.72,3.72,1,3,//////////////////,chemistry,/////////////////////////////////////////////,NYU ED2 but I'm not going because $$$ 💸💸💸 </3 so free from binding
3/8/2026 14:14:43,Id,Didn't apply,Didn't apply,No,3.8,4.35,4.1,9,8,Undeclared social sciences,n/a,n/a,UF oos
3/8/2026 14:16:07,Id,No,Didn't apply,Yes,4.0,4.24,4.24,8,9,Electrical and Comp Engineering,Electrical and Comp Engineering,n/a,Stanford
3/8/2026 14:18:32,Id,No,Didn't apply,Yes,3.8,4.48,4.12,6,4,Cognitive science,Applied math,,"Yale, UC Berkeley"
3/8/2026 14:23:35,Id,No,Yes,No,3.91,4.77,4.27,4,8,Computer Science,Computer Science,Computer Science,UMich
3/8/2026 14:24:15,Email,Yes,Yes,No,3.86,4.29,4.15,8,6,Physics,Physics,Applied physics,UCSB (reception)
3/8/2026 14:28:38,Id,No,No,No,3.88,4.45,4.0,3,3,Finance,Economics,Business,
3/8/2026 14:30:19,Id,Didn't apply,Didn't apply,No,4.0,4.99,4.1,2,2,chem,nope,nope,caltech
3/8/2026 14:30:38,Email,No,Didn't apply,No,4.0,4.0,4.0,6,8,Mech eng,Mech eng,Na,UIUC
3/8/2026 14:35:31,Email,Didn't apply,Didn't apply,Yes,3.37,3.37,3.37,8,8,Applied math,N/A,N/A,Uc merced
3/8/2026 14:35:58,Id,Didn't apply,Didn't apply,No,3.15,3.73,3.26,6,4,Mechanical Engineering,,,UC Berkeley
3/8/2026 14:43:00,Id,No,No,No,3.7,4.0,4.3,6,8,EEP,Econ,Idk,
3/8/2026 14:44:02,Id,No,Didn't apply,Yes,3.93,4.5,4.15,5,10,idr,cognitive/behavioral neuroscience,didn't apply,unc (in state)
3/8/2026 14:44:10,Email,Didn't apply,Didn't apply,No,4.0,4.61,4.14,5,7,Economics,,,Fordham
3/8/2026 14:49:17,Id,No,Didn't apply,No,4.0,,,9,7,Economics,Urban planning,Economics,Umich Econ
3/8/2026 14:50:58,Id,Didn't apply,No,No,3.8,4.37,3.93,6,5,econ,n/a,math,Yale
3/8/2026 14:54:05,Id,Yes,Didn't apply,No,3.73,4.18,4.04,9,9,Data Science,Aerospace Engineering,N/A,Northeastern University
3/8/2026 14:59:07,Id,Yes,No,Yes,3.85,4.45,4.15,7,5,english,english,english,n/a
3/8/2026 15:01:51,Didn't apply,Yes,No,No,1.93,2.04,2.04,8,7,d,compeuter sceince,compeuter sceince,
3/8/2026 15:15:51,Id,Yes,No,No,4.0,4.98,4.15,9,10,Political Science,Public Policy,Business,"Harvard, UCBerk Early, UCDavis, UIUC"
3/8/2026 15:16:16,Didn't apply,Didn't apply,No,Yes,3.5,3.7,3.7,7,8,None,None,Civil Engineering,Santa Clara university
3/8/2026 15:16:53,Id,No,Didn't apply,No,4.0,,,8,9,Molecular and Cell Biology,Molecular and Cell Biology,N/A,
3/8/2026 15:26:29,Id,No,Didn't apply,Yes,4.0,4.38,4.19,6,7,Political Science,International Relations / Political Science,N/A,
3/8/2026 15:26:37,Email,Yes,Yes,Yes,3.86,4.14,4.14,8,7,Molecular Cell Biology,Neurobiology,Pharmaceutical Sciences,UC Davis
3/8/2026 15:26:42,Id,Yes,Yes,No,3.97,4.6,4.3,8,8,cs,cs,cs,
3/8/2026 15:27:37,Didn't apply,No,Didn't apply,Yes,3.6,4.21,3.81,6,6,I did not apply,Data Science,I did not apply,"CUNYs (Baruch & Hunter), Brandeis"
3/8/2026 15:28:55,Email,Yes,Yes,No,4.0,4.33,4.33,8,8,Applied Math,CS,CSE,
3/8/2026 15:29:02,Id,No,Didn't apply,Yes,3.94,4.74,4.19,7,6,Integrative Biology,General Biology,N/A,UC Davis
3/8/2026 15:33:03,Didn't apply,Yes,Didn't apply,No,4.0,4.9,4.03,8,8,N/A,CS,N/A,
3/8/2026 15:33:42,Id,No,No,Yes,3.73,4.27,4.04,7,6,Nutrition and Metabolic Biology,Human Biology,Biology,UC Davis
3/8/2026 15:35:46,Email,Yes,No,No,4.0,4.86,4.86,10,8,biology,biology,biology,umich
3/8/2026 15:40:04,Id,No,Yes,Yes,4.0,4.99,4.03,9,10,Mechanical Engineering,Applied Math,Electrical Engineering,MIT
3/8/2026 15:46:35,Id,No,Yes,Yes,3.71,3.86,3.86,6,7,Poli Sci,Poli Sci,Poli Sci,UC Davis
3/8/2026 15:49:03,Didn't apply,Yes,No,No,4.0,4.09,4.09,4,8,NONE,Biology,Biology,UC Davis
3/8/2026 15:49:33,Email,Yes,Didn't apply,Yes,3.85,4.1,4.05,7,7,Nuclear Engineering,Chemical Engineering,N/A,
3/8/2026 15:53:29,Email,Yes,No,Yes,3.85,4.77,4.15,6,6,Biology,Public Health,Public Health,
3/8/2026 16:07:10,Id,No,No,Yes,4.0,4.4,4.29,9,9,poli sci,poli sci,poli sci,sdsu/uc davis
3/8/2026 16:11:17,Email,Didn't apply,No,Yes,3.84,4.12,4.12,8,8,Pol econ (undeclared),DId not apply,Business Econ,UCSC lmao
3/8/2026 16:20:47,Id,No,No,No,3.98,4.4,4.15,8,8,neuroscience,cognitive science,neuro adjacent (forgot the specifics),note: international student
3/8/2026 16:22:57,Didn't apply,Didn't apply,Yes,No,4.0,4.88,4.24,6,6,,,Biology,
3/8/2026 16:24:29,Email,Yes,No,No,3.74,4.53,3.95,7,9,Data Science,Data Science,Data Science,UC Davis
3/8/2026 16:35:02,Email,Yes,Yes,Yes,3.87,4.13,4.08,7,7,Enviromental Engineering,Structural Engineering,Enviromental Engineering,UC Davis
3/8/2026 16:41:42,Email,No,No,No,3.79,4.28,4.03,6,7,Ece,Ee,Ee,
3/8/2026 16:44:21,Id,Yes,Didn't apply,Yes,3.97,3.97,3.97,8,5,Economics,Economics,Economics,
3/8/2026 16:46:35,Id,No,Yes,Yes,4.0,4.09,4.09,6,4,Economics,Economics,Economics,University of Notre Dame
3/8/2026 16:51:12,Didn't apply,Yes,Yes,No,3.82,4.06,4.0,5,5,N/a,Economics,economics,
3/8/2026 16:51:29,Id,No,Yes,Yes,4.0,4.98,4.18,10,10,bioengineering,bioengineering,biology,harvard college
3/8/2026 16:54:35,Id,Yes,No,Yes,4.0,4.4,4.33,7,3,Economics,Business Economics,Business Admin,UC Davis
3/8/2026 16:57:47,Id,No,No,No,3.9,4.3,4.4,9,9,Bio,Bio,Bio,
3/8/2026 16:58:27,Didn't apply,No,Didn't apply,Yes,4.0,4.9,4.1,2,3,-,Mechanical Engineering,-,UMichigan (honestly I'm quite of a dumbass)
3/8/2026 17:03:02,Id,Didn't apply,Didn't apply,Yes,4.0,4.95,4.1,6,7,History,N/A,N/A,i only applied to the ucs.
3/8/2026 17:08:01,Id,Didn't apply,Yes,No,4.0,5.0,4.15,9,7,Data Science,-/-/-/-,Civil Engineering,
3/8/2026 17:10:06,Didn't apply,Didn't apply,Yes,No,4.0,4.32,4.24,3,4,,,economics,
3/8/2026 17:12:28,Id,No,Yes,Yes,4.0,4.28,4.28,7,4,Statistics,Econ+Math,Math,
3/8/2026 17:12:33,Id,No,Yes,No,3.88,3.98,3.98,5,5,Computer Science,Computer Science,Computer Science,"Pace University, SUNY Binghamton, SUNY Stony Brook"
3/8/2026 17:14:41,Email,No,No,Yes,3.69,3.72,3.72,8,10,History,Economics,Economics,UCD
3/8/2026 17:16:14,Didn't apply,Didn't apply,Yes,Yes,4.0,4.36,4.13,5,6,,,Economics,Georgetown U.
3/8/2026 17:17:32,Email,Yes,Didn't apply,Yes,3.9,4.25,4.03,7,9,Biology,Bioeng.,,USC
3/8/2026 17:21:48,Id,No,Didn't apply,Yes,3.89,4.63,4.24,9,7,public health,public health,didnt apply,"ut austin, umich, cwru ppsp finalist (40/4400)"
3/8/2026 17:22:01,Id,No,Yes,Yes,3.9,4.53,4.16,7,9,Chemistry (Letters and Science),Pharmacological Chemistry,Pharmaceutical Sciences,
3/8/2026 17:24:14,Id,No,Yes,Yes,3.93,3.93,3.93,7,8,math,math,math,
3/8/2026 17:29:23,Didn't apply,Yes,Didn't apply,Yes,3.72,3.78,3.78,3,4,n/a,Astronomy & Astrophysics,n/a,NONE???? Waitlisted NYU ED1 😭😭
3/8/2026 17:29:24,Id,Yes,Yes,No,4.0,4.72,4.22,8,9,met/eecs,comp eng,cse?,uiuc cs oos
3/8/2026 17:38:30,Didn't apply,Yes,Didn't apply,Yes,4.0,4.98,4.18,9,10,,Structural Engineering,,MIT // 4% > 28% ; Honestly laughable joke because from what I'm understanding I'm not getting into UCSD
3/8/2026 17:44:44,Id,No,Yes,No,4.0,4.02,4.02,9,10,Economics,Economics,Economics,UCD
3/8/2026 17:45:51,Id,Didn't apply,Didn't apply,Yes,4.0,4.52,4.18,7,5,Biology!!!,,,Early Berkeley offer!! (committed)
3/8/2026 17:54:04,Didn't apply,No,No,No,3.96,4.26,4.13,7,5,,aerospace,aerospace,"uiuc, purdue"
3/8/2026 17:59:49,Email,Yes,Yes,No,4.0,4.27,4.27,7,9,Chemistry,Chemistry,Chemistry,UIUC ChemE
3/8/2026 18:03:15,Id,Yes,Didn't apply,No,3.8,4.4,4.2,7,8,Mech Eng,Mech Eng,N/A,University College London
3/8/2026 18:06:38,Id,No,Didn't apply,Yes,3.28,4.06,3.72,10,8,Political science,Political science international relations,Didnt apply,"UC Santa Cruz, cal poly slo"
3/8/2026 18:08:06,Email,Yes,Didn't apply,No,4.0,4.58,4.14,7,7,engineering undeclared,electrical engineering,n/a,uiuc grainger
3/8/2026 18:10:35,Id,Yes,Didn't apply,Yes,4.0,4.0,4.0,7,8,political science,public law,NA,Yale
3/8/2026 18:14:56,Didn't apply,Yes,No,Yes,3.92,4.2,4.0,7,6,N/A,Public Health with Concentration in Climate and Environmental Sciences,Environmental Engineering,
3/8/2026 18:17:09,Didn't apply,No,No,Yes,3.78,4.58,4.0,8,7,n/a,bio,bio,
3/8/2026 18:26:53,Email,No,Didn't apply,No,3.66,3.66,4.0,7,6,Business,Math,N/A,Note: my school does NOT do weighted GPAs + GPA is out of 100
3/8/2026 18:29:53,Email,No,Yes,Yes,4.0,4.73,4.36,8,6,physics,physics,physics,UC Davis
3/8/2026 18:30:04,Didn't apply,No,Didn't apply,No,3.6,4.05,4.0,7,5,Urban Planning,Urban Planning,N/A,Penn State (for Architecture - they accept 100 people out of 1000 applicants)
3/8/2026 18:34:50,Id,Yes,Didn't apply,Yes,3.6,4.24,3.9,5,7,Data Science,Data Science,N/A,"applied to 40 schools, most of them coming out in the following weeks"
3/8/2026 18:36:10,Email,No,Yes,Yes,3.89,4.42,4.35,9,7,Media Studies (changed from HAAS),Business Psychology,Business Administration,Cal State Long Beach | UC wise: UCSC
3/8/2026 18:47:16,Email,No,Yes,Yes,3.89,4.1,4.1,8,7,Microbial Bio,Global Health,Public Health,UC Davis
3/8/2026 18:47:30,Email,Didn't apply,Didn't apply,Yes,4.0,4.29,4.29,9,8,Biology,DNA,DNA,UDub
3/8/2026 18:47:57,Id,No,Yes,Yes,4.0,5.0,4.22,9,8,Physics,Undeclared,Undeclared,Caltech
3/8/2026 18:50:31,Id,Yes,No,Yes,3.82,3.99,3.99,8,6,CS,CS,CS,UMichigan
3/8/2026 18:51:13,Email,No,Yes,Yes,3.91,4.25,4.25,5,7,materials engineering,structural engineering,aerospace engineering,davis
3/8/2026 18:53:05,Didn't apply,Yes,Yes,No,3.57,3.76,3.76,5,7,,English,English,UC davis
3/8/2026 18:54:30,Didn't apply,Didn't apply,Yes,No,3.44,3.46,3.46,4,3,n/a,n/a,Economics,UT Austin
3/8/2026 18:56:04,Id,No,Didn't apply,Yes,3.74,4.42,4.04,9,9,Nuclear engineering,ChemE oceanography alt major,Didn’t apply,"UCSC undeclared major, ucr chemE with honors invitation"
3/8/2026 18:56:54,Id,No,Didn't apply,Yes,4.0,4.21,4.21,3,8,cognitive science,chemistry,i did not apply to uci,mit (early action)
3/8/2026 19:03:36,Id,No,Yes,Yes,3.98,4.71,4.29,7,8,Political Science,Political Science - Public Policy,Social Policy and Public Service,USC
3/8/2026 19:05:14,Id,No,Yes,Yes,3.9,4.7,4.3,8,7,Psych,Psych,Psych,Davis
3/8/2026 19:16:16,Id,No,No,No,3.87,4.33,4.33,4,4,enviro,enviro,enviro,ucsc ToTTTTTTTTTTT
3/8/2026 19:25:23,Id,Yes,Didn't apply,No,4.0,4.99,4.12,8,9,Civil Engineering,Aerospace Engineering,N/A,I applied rd for all 8 ivy leagues so N/A
3/8/2026 19:29:18,Didn't apply,Didn't apply,Yes,Yes,3.3,3.56,3.49,10,5,Didn't apply,Didn't apply,Public Health major,UCSB reception idfk how
3/8/2026 19:32:47,Id,No,Yes,No,3.89,4.18,4.04,10,10,engineering,engineering,engineering,uni north carolina chapel hill
3/8/2026 19:38:08,Id,No,Yes,Yes,3.0,3.0,3.0,7,7,Biology,Human Biology,Bioengineering,San Francisco State University
3/8/2026 19:47:45,Id,Yes,Didn't apply,No,4.0,4.11,,7,8,Computer Science,Computer Science,Computer Science,Carnegie Mellon University (breaking the ED contract bc unable to afford)
3/8/2026 20:04:19,Id,Yes,Didn't apply,No,3.68,3.93,4.06,9,10,Nutrition and Metabolic Biology,Human Biology,N/A,Pitzer College
3/8/2026 20:05:32,Id,No,Yes,Yes,4.0,4.89,4.11,6,7,Bio,Bio,Bio,UCD
3/8/2026 20:06:03,Email,No,Yes,Yes,4.0,4.99,4.15,8,9,molecular biology,Bioengineering,CS,University of Chicago
3/8/2026 20:07:20,Id,Yes,Yes,Yes,3.47,3.5,3.5,9,8,History,English,Undeclared Major,"University of Florida, Georgia Tech"
3/8/2026 20:11:26,Id,No,Yes,No,3.93,4.48,4.21,8,9,HAAS— Spieker (Business Admin),Business,Business,
3/8/2026 20:12:08,Email,No,Didn't apply,Yes,3.94,4.19,3.94,8,9,chemistry,mechanical major,didn't apply,case western
3/8/2026 20:13:33,Id,No,No,No,4.0,4.53,4.48,7,7,Political Science,Political Science,Political Science,
3/8/2026 20:13:41,Email,Yes,No,No,0.58,0.61,0.61,9,10,i thought maybe it's a poliltical science major,these one i chose economics,i want to do farmaceutical major,san diego city college
3/8/2026 20:33:45,Email,No,No,Yes,3.77,4.27,4.18,7,8,Economics,Business Economics,Business Administration,Pepperdine
3/8/2026 20:45:34,Email,Didn't apply,Didn't apply,No,3.7,4.0,,6,6,chem,no,no,WAITLSTED FOR GOERGIA TECH I HATE MY LIFE
3/8/2026 20:55:39,Id,Yes,No,Yes,3.8,4.39,4.0,9,9,Sociology,Political Science,Criminology,
3/8/2026 21:34:51,Id,No,Didn't apply,No,3.92,4.52,4.42,9,8,SUBP,Economics,N/A,
3/8/2026 21:45:20,Email,No,Yes,Yes,3.71,4.46,3.81,8,7,History,History,History,Davis
3/8/2026 22:07:55,Id,Yes,No,Yes,3.9,4.4,4.23,9,8,Economics,Economics,Economics,
3/8/2026 22:32:52,Email,Didn't apply,Didn't apply,No,3.95,4.43,4.43,7,8,Political Science,did not apply,did not apply,
3/9/2026 1:20:02,Email,No,Yes,Yes,4.0,4.23,4.23,7,7,Math,Math,Math,Davis
3/9/2026 2:09:16,Id,No,Yes,Yes,4.0,4.79,4.25,7,8,Political Science,Political Science - International Relations,Political Science,UC Davis/McGill
3/9/2026 6:47:47,Id,No,Yes,No,4.0,4.6,4.27,7,8,Sociology,Political Science,Sociology,UNC Chapel-Hill (Honors Program)
3/9/2026 9:29:01,Id,No,Didn't apply,No,4.0,4.26,4.26,8,5,statistics/math,math and economics,N/A,University of Washington
3/9/2026 12:19:23,Id,Yes,No,Yes,3.55,4.09,3.91,8,8,Political Science,Political Science,Political Science,UC Santa Cruz
3/9/2026 13:47:10,Id,Yes,Yes,No,3.9,3.9,3.9,8,7,Philosophy,Philosophy,Philosophy,"USF, SFSU, SJSU (all safety)"
3/9/2026 15:16:02,Id,Yes,Yes,Yes,4.0,4.67,4.33,8,7,Mechanical Engineering,Mechanical Engineering,Mechanical Engineering,Northeastern (Boston Campus)
3/9/2026 17:05:29,Email,No,Yes,Yes,3.7,4.1,4.1,10,8,Biology,Public health,biological sciences,UC Davis
3/9/2026 21:30:35,Id,No,Yes,Yes,4.0,4.56,4.2,8,8,Physics,Physics,Physics,Stanford
3/10/2026 0:23:08,Email,No,Yes,No,3.97,,,8,10,Pub health,Human bio,Pub health,
3/10/2026 2:29:10,Id,No,No,No,3.9,4.0,4.0,8,8,Data Science,Data Science,Data Science,UW or UIUC
3/10/2026 2:36:25,Email,Didn't apply,Didn't apply,No,4.0,4.0,4.0,9,9,GMP Haas,n/a,b/a,
3/10/2026 5:29:49,Didn't apply,No,No,Yes,4.2,4.2,,8,7,Astrophysics,N/A,N/A,"N/A. Btw random tip, surveyswap.io was a lifesaver for finding respondents, and it's free. Anyway, good luck!"
3/10/2026 21:54:37,Email,No,No,Yes,3.91,4.64,4.27,6,6,Mechanical Engineering,Mechanical Engineering,Mechanical Engineering,SJSU
3/10/2026 22:12:06,Id,No,Yes,Yes,3.87,4.67,4.27,7,7,Sociology,Sociology,Sociology,USC
3/10/2026 23:32:56,Email,No,Yes,Yes,3.86,4.18,4.08,4,3,applied math,n/a,applied math,"currently all the free ucs that i applied to, i only applied to ucs"
3/10/2026 23:33:55,Id,No,Yes,No,4.0,4.66,4.13,5,8,ECE,ECE,EE,"Stanford, Georgia Tech"
3/10/2026 23:44:37,Didn't apply,No,No,No,3.86,4.38,4.15,6,6,n/a,bio,bio,udub
3/11/2026 7:36:15,Id,No,Didn't apply,No,4.0,4.0,4.0,8,6,Computer Science,Computer Science,NA,University of Virginia
3/11/2026 16:36:15,Didn't apply,Yes,No,Yes,3.64,4.13,4.13,6,8,NA,Stats,DATA Science,
3/12/2026 16:44:08,Id,Yes,Didn't apply,No,3.93,4.43,4.11,7,7,Political Science,Political Science - Intl relations,N/A,
